k	Задача	1-hd			1-fd			2-hd			2-fd			3-hd			3-fd			4-hd			4-fd			
0,1	1	2,10714	0,23413	0,52976	2,72308	0,30256	0,68462	2,44138	0,27126	0,61379	2,72308	0,30256	0,68462	2,44138	0,27126	0,61379	2,72308	0,30256	0,68462	2,44138	0,27126	0,61379	2,72308	0,30256	0,68462	
0,1	2	0,91123	0,10125	0,36031	0,86386	0,09598	0,34158	0,74573	0,08286	0,29487	0,86386	0,09598	0,34158	0,74573	0,08286	0,29487	0,86386	0,09598	0,34158	0,74573	0,08286	0,29487	0,86386	0,09598	0,34158	
0,1	3	1,17891	0,13099	0,5016	1,5	0,16667	0,63821	1,22591	0,13621	0,52159	1,5	0,16667	0,63821	1,22591	0,13621	0,52159	1,5	0,16667	0,63821	1,22591	0,13621	0,52159	1,5	0,16667	0,63821	
0,1	4	0,76989	0,08554	0,3957	1,25614	0,13957	0,64561	1,07831	0,11981	0,55422	1,25614	0,13957	0,64561	1,18937	0,13215	0,6113	1,25614	0,13957	0,64561	1,18937	0,13215	0,6113	1,25614	0,13957	0,64561	
0,1	5	0,47694	0,05299	0,12121	0,74793	0,0831	0,19008	0,67286	0,07476	0,171	0,74793	0,0831	0,19008	0,67286	0,07476	0,171	0,74793	0,0831	0,19008	0,67286	0,07476	0,171	0,74793	0,0831	0,19008	
0,1	6	0,70922	0,0788	0,27896	1,01351	0,11261	0,39865	0,95541	0,10616	0,3758	1,01351	0,11261	0,39865	0,95541	0,10616	0,3758	1,01351	0,11261	0,39865	0,95541	0,10616	0,3758	1,01351	0,11261	0,39865	
0,1	7	1,24503	0,13834	0,72848	1,29655	0,14406	0,75862	1,28767	0,14307	0,75342	1,29655	0,14406	0,75862	1,28767	0,14307	0,75342	1,29655	0,14406	0,75862	1,28767	0,14307	0,75342	1,29655	0,14406	0,75862	
0,1	8	1,59565	0,17729	0,55652	1,91146	0,21238	0,66667	1,79024	0,19892	0,62439	1,91146	0,21238	0,66667	1,79024	0,19892	0,62439	1,91146	0,21238	0,66667	1,79024	0,19892	0,62439	1,91146	0,21238	0,66667	
0,1	9	0,79157	0,08795	0,28825	1,46914	0,16324	0,53498	1,21843	0,13538	0,44369	1,46914	0,16324	0,53498	1,2226	0,13584	0,44521	1,46914	0,16324	0,53498	1,2226	0,13584	0,44521	1,46914	0,16324	0,53498	
0,1	10	0,59155	0,06573	0,24726	1,32168	0,14685	0,55245	0,63317	0,07035	0,26466	1,32168	0,14685	0,55245	0,63317	0,07035	0,26466	1,32168	0,14685	0,55245	0,63317	0,07035	0,26466	1,32168	0,14685	0,55245	
