k	Задача	0				1				2				3				4				5				
0,1	1	0,12839	0,01427	0,0325	391	0,16568	0,01841	0,04194	200	0,09511	0,01057	0,02407	166	2,56989	0,28554	0,65054	234	1,99167	0,2213	0,50417	186	1,78358	0,19818	0,45149	152	
0,1	2	0,13911	0,01546	0,04013	132	0,13358	0,01484	0,03854	145	0,12975	0,01442	0,03743	149	0,4524	0,05027	0,13052	167	0,29307	0,03256	0,08455	163	0,66812	0,07424	0,19275	151	
0,1	3	0,1614	0,01793	0,03942	140	0,13021	0,01447	0,0318	196	0,14267	0,01585	0,03485	161	0,9977	0,11086	0,24368	201	0,96875	0,10764	0,23661	176	1,17935	0,13104	0,28804	159	
0,1	4	0,10886	0,0121	0,0271	187	0,15237	0,01693	0,03793	157	0,14142	0,01571	0,03521	154	0,51732	0,05748	0,12879	172	0,44631	0,04959	0,11111	157	0,47047	0,05227	0,11713	150	
0,1	5	0,15965	0,01774	0,04675	142	0,1499	0,01666	0,04389	195	0,13187	0,01465	0,03861	138	2,3871	0,26523	0,69892	159	2,16585	0,24065	0,63415	151	1,67547	0,18616	0,49057	153	
0,1	6	0,10267	0,01141	0,03778	147	0,10863	0,01207	0,03997	143	0,16915	0,01879	0,06224	187	0,50056	0,05562	0,18418	167	0,60354	0,06706	0,22207	158	0,60602	0,06734	0,22298	139	
0,1	7	0,23736	0,02637	0,03566	133	0,17847	0,01983	0,02681	121	0,20686	0,02298	0,03108	108	1,85062	0,20562	0,27801	164	2,59302	0,28811	0,38953	150	2,95364	0,32818	0,44371	144	
0,1	8	0,13648	0,01516	0,02966	120	0,12431	0,01381	0,02701	158	0,22188	0,02465	0,04821	96	1,45578	0,16175	0,31633	146	1,43144	0,15905	0,31104	143	1,37179	0,15242	0,29808	139	
0,1	9	0,14117	0,01569	0,01617	119	0,10241	0,01138	0,01173	114	0,13948	0,0155	0,01598	102	2,03587	0,22621	0,23318	151	0,70938	0,07882	0,08125	149	3,00662	0,33407	0,34437	143	
0,1	10	0,25671	0,02852	0,05201	123	0,15295	0,01699	0,03099	138	0,13464	0,01496	0,02728	143	0,99566	0,11063	0,20174	145	1,02915	0,11435	0,20852	149	1,17391	0,13043	0,23785	160	
0,2	1	0,27853	0,03095	0,06378	109	0,22559	0,02507	0,05166	125	0,31925	0,03547	0,07311	98	2,0786	0,23096	0,47598	151	2,125	0,23611	0,48661	142	1,73723	0,19303	0,39781	133	
0,2	2	0,36335	0,04037	0,08606	128	0,3302	0,03669	0,0782	116	0,22375	0,02486	0,05299	103	1,74046	0,19338	0,41221	145	2,07273	0,2303	0,49091	144	1,64621	0,18291	0,38989	132	
0,2	3	0,30634	0,03404	0,04571	107	0,25655	0,02851	0,03828	103	0,25846	0,02872	0,03857	89	3,10569	0,34508	0,46341	141	2,91603	0,324	0,43511	130	2,46452	0,27384	0,36774	131	
0,2	4	0,39455	0,04384	0,07293	111	0,24549	0,02728	0,04538	103	0,28635	0,03182	0,05293	93	1,9188	0,2132	0,3547	158	1,54828	0,17203	0,28621	151	1,34835	0,14982	0,24925	143	
0,2	5	0,24344	0,02705	0,061	113	0,30964	0,0344	0,07759	108	0,26456	0,0294	0,06629	99	2,70253	0,30028	0,67722	142	1,96774	0,21864	0,49309	138	2,45402	0,27267	0,61494	136	
0,2	6	0,49026	0,05447	0,14719	118	0,33882	0,03765	0,10172	132	0,29608	0,0329	0,08889	105	3,08163	0,3424	0,92517	137	2,77914	0,30879	0,83436	130	2,88535	0,32059	0,86624	131	
0,2	7	0,48453	0,05384	0,06403	83	0,29849	0,03317	0,03945	89	0,34604	0,03845	0,04573	86	4,09009	0,45445	0,54054	133	3,78333	0,42037	0,5	128	2,85535	0,31726	0,37736	134	
0,2	8	0,30759	0,03418	0,0544	96	0,2481	0,02757	0,04388	90	0,39212	0,04357	0,06935	89	3,7541	0,41712	0,66393	158	2,31313	0,25701	0,40909	167	2,57303	0,28589	0,45506	155	
0,2	9	0,3277	0,03641	0,06098	94	0,24668	0,02741	0,04591	95	0,23002	0,02556	0,04281	96	1,05938	0,11771	0,19715	155	1,92241	0,2136	0,35776	135	2,68675	0,29853	0,5	128	
0,2	10	0,50612	0,05624	0,1079	108	0,36284	0,04032	0,07735	93	0,39565	0,04396	0,08435	110	3,15972	0,35108	0,67361	141	3,01325	0,33481	0,64238	128	3,09524	0,34392	0,65986	114	
0,3	1	0,67783	0,07531	0,13557	97	0,65284	0,07254	0,13057	86	0,45748	0,05083	0,0915	86	3,24427	0,36047	0,64885	138	2,62346	0,2915	0,52469	131	2,57576	0,2862	0,51515	126	
0,3	2	0,89013	0,0989	0,11883	90	0,77843	0,08649	0,10392	82	0,61171	0,06797	0,08166	85	5,92537	0,65837	0,79104	145	5,15584	0,57287	0,68831	154	4,72619	0,52513	0,63095	132	
0,3	3	0,5935	0,06594	0,09756	97	0,4572	0,0508	0,07516	83	0,65667	0,07296	0,10795	96	5,15294	0,57255	0,84706	156	4,25243	0,47249	0,69903	134	4,76087	0,52899	0,78261	147	
0,3	4	0,76817	0,08535	0,1436	111	0,40585	0,04509	0,07587	104	0,61581	0,06842	0,11512	95	2,26531	0,2517	0,42347	188	2,48045	0,27561	0,46369	165	2,96	0,32889	0,55333	163	
0,3	5	0,55922	0,06214	0,08791	104	0,57393	0,06377	0,09023	92	0,68155	0,07573	0,10714	98	2,4492	0,27213	0,38503	159	1,66545	0,18505	0,26182	145	2,60227	0,28914	0,40909	145	
0,3	6	0,39092	0,04344	0,11955	106	0,34172	0,03797	0,1045	112	0,51613	0,05735	0,15783	87	1,6	0,17778	0,48929	126	1,38272	0,15364	0,42284	129	1,3913	0,15459	0,42547	120	
0,3	7	0,48152	0,0535	0,07075	104	0,48875	0,05431	0,07181	102	0,45193	0,05021	0,0664	91	2,78049	0,30894	0,40854	159	3,61905	0,40212	0,53175	152	3,37778	0,37531	0,4963	145	
0,3	8	0,56715	0,06302	0,13789	103	0,38023	0,04225	0,09244	86	0,56444	0,06272	0,13723	101	3,69531	0,41059	0,89844	149	3,13245	0,34805	0,76159	133	2,88415	0,32046	0,70122	131	
0,3	9	0,44645	0,04961	0,08246	114	0,60696	0,06744	0,11211	93	1,01509	0,11279	0,1875	87	5,41379	0,60153	1	137	3,95798	0,43978	0,73109	119	4,80612	0,53401	0,88776	127	
0,3	10	0,70943	0,07883	0,12828	94	0,72057	0,08006	0,1303	89	0,30297	0,03366	0,05479	102	3,9569	0,43966	0,71552	146	3,50382	0,38931	0,63359	135	3,88983	0,4322	0,70339	145	
0,4	1	0,8497	0,09441	0,10621	93	1,03415	0,11491	0,12927	85	1,19101	0,13233	0,14888	95	4	0,44444	0,5	142	3,16418	0,35158	0,39552	140	2,36872	0,26319	0,29609	133	
0,4	2	0,894	0,09933	0,1	91	0,96544	0,10727	0,10799	85	1,05674	0,11742	0,1182	80	5,88158	0,65351	0,65789	154	4,96667	0,55185	0,55556	150	4,02703	0,44745	0,45045	151	
