k	Задача	0				1				2				3				4				5				
0,1	1	0,18628	0,0207	0,01636	184	0,20351	0,02261	0,01787	218	0,18812	0,0209	0,01652	161	0,82465	0,09163	0,07243	354	0,6301	0,07001	0,05534	331	0,67534	0,07504	0,05931	305	
0,1	2	0,1363	0,01514	0,021	253	0,14653	0,01628	0,02258	205	0,14014	0,01557	0,02159	213	0,56054	0,06228	0,08637	388	0,58584	0,06509	0,09027	333	0,75142	0,08349	0,11578	325	
0,1	3	0,15996	0,01777	0,02096	212	0,21544	0,02394	0,02823	191	0,11512	0,01279	0,01508	217	0,51235	0,05693	0,06713	377	0,5216	0,05796	0,06834	321	0,86234	0,09582	0,11299	336	
0,1	4	0,2096	0,02329	0,03839	207	0,18728	0,02081	0,0343	203	0,22635	0,02515	0,04146	169	0,93122	0,10347	0,17056	359	0,97974	0,10886	0,17945	310	1,13211	0,12579	0,20736	314	
0,1	5	0,1391	0,01546	0,02543	225	0,13474	0,01497	0,02463	217	0,15587	0,01732	0,02849	185	1,43498	0,15944	0,26233	342	1,09402	0,12156	0,2	327	1,00787	0,11199	0,18425	309	
0,1	6	0,28169	0,0313	0,03037	197	0,13117	0,01457	0,01414	187	0,2	0,02222	0,02156	158	2,43346	0,27038	0,26236	308	2,27758	0,25306	0,24555	254	2,84444	0,31605	0,30667	251	
0,1	7	0,16026	0,01781	0,03919	197	0,10398	0,01155	0,02542	222	0,13031	0,01448	0,03186	219	1,729	0,19211	0,42276	269	1,92169	0,21352	0,46988	236	1,51905	0,16878	0,37143	236	
0,1	8	0,17445	0,01938	0,02364	169	0,18608	0,02068	0,02522	166	0,26755	0,02973	0,03626	162	0,58829	0,06537	0,07972	278	0,57666	0,06407	0,07814	299	1,03922	0,11547	0,14082	281	
0,1	9	0,11053	0,01228	0,01366	212	0,15503	0,01723	0,01916	189	0,17795	0,01977	0,02199	200	1,85801	0,20645	0,22961	381	2,43083	0,27009	0,3004	345	2,47984	0,27554	0,30645	327	
0,1	10	0,2103	0,02337	0,02525	181	0,12002	0,01334	0,01441	197	0,13276	0,01475	0,01594	204	6,59375	0,73264	0,79167	316	2,6157	0,29063	0,31405	272	2,16781	0,24087	0,26027	272	
0,2	1	0,3091	0,03434	0,06018	202	0,30644	0,03405	0,05967	196	0,25406	0,02823	0,04947	187	3,82143	0,4246	0,74405	372	2,84071	0,31563	0,5531	286	3,24242	0,36027	0,63131	272	
0,2	2	0,29286	0,03254	0,04588	175	0,29981	0,03331	0,04696	190	0,30009	0,03334	0,04701	197	2,80889	0,3121	0,44	339	2,73593	0,30399	0,42857	252	1,8979	0,21088	0,2973	291	
0,2	3	0,22932	0,02548	0,03479	175	0,35691	0,03966	0,05414	190	0,33822	0,03758	0,05131	204	1,08571	0,12063	0,16471	368	0,81772	0,09086	0,12405	338	0,59484	0,06609	0,09024	298	
0,2	4	0,32512	0,03612	0,03555	191	0,2662	0,02958	0,0291	222	0,36354	0,04039	0,03975	176	1,80526	0,20058	0,19737	368	3,3301	0,37001	0,36408	318	2,52206	0,28023	0,27574	293	
0,2	5	0,25489	0,02832	0,03576	205	0,36101	0,04011	0,05065	227	0,21073	0,02341	0,02956	189	1,40596	0,15622	0,19725	351	1,33551	0,14839	0,18736	311	1,32112	0,14679	0,18534	320	
0,2	6	0,36042	0,04005	0,03889	197	0,35628	0,03959	0,03844	200	0,41071	0,04563	0,04431	158	4,25342	0,4726	0,4589	379	3,50847	0,38983	0,37853	304	3,54857	0,39429	0,38286	370	
0,2	7	0,46352	0,0515	0,05969	187	0,49256	0,05473	0,06343	220	0,44048	0,04894	0,05672	200	2,30403	0,256	0,2967	384	2,23843	0,24871	0,28826	316	1,75698	0,19522	0,22626	344	
