k	Задача	0				1				2				3				4				5				
0,1	1	0,10374	0,01153	0,03173	305	0,12152	0,0135	0,03716	162	0,12783	0,0142	0,03909	132	1,08638	0,12071	0,33223	196	1,22932	0,13659	0,37594	147	1,34016	0,14891	0,40984	154	
0,1	2	0,08941	0,00993	0,0315	108	0,15953	0,01773	0,0562	96	0,11463	0,01274	0,04039	116	0,60691	0,06743	0,21382	149	1,05128	0,11681	0,37037	130	0,62331	0,06926	0,21959	137	
0,1	3	0,1494	0,0166	0,03704	117	0,15078	0,01675	0,03738	110	0,12942	0,01438	0,03208	102	1,8601	0,20668	0,46114	161	1,18092	0,13121	0,29276	167	1,07164	0,11907	0,26567	139	
0,1	4	0,12016	0,01335	0,04563	123	0,11064	0,01229	0,04202	124	0,08779	0,00975	0,03334	114	0,75464	0,08385	0,2866	150	0,90819	0,10091	0,34491	132	0,77872	0,08652	0,29574	125	
0,1	5	0,14536	0,01615	0,03933	115	0,11506	0,01278	0,03113	108	0,09184	0,0102	0,02485	113	1,31274	0,14586	0,35521	137	1,67488	0,1861	0,4532	131	1,60377	0,1782	0,43396	169	
0,1	6	0,17793	0,01977	0,05591	89	0,11179	0,01242	0,03513	93	0,09576	0,01064	0,03009	115	1,4023	0,15581	0,44061	101	0,91272	0,10141	0,28678	131	1,14375	0,12708	0,35938	133	
0,1	7	0,18369	0,02041	0,0614	124	0,15446	0,01716	0,05163	119	0,13732	0,01526	0,0459	123	0,66972	0,07441	0,22385	130	0,625	0,06944	0,2089	140	0,75569	0,08397	0,25259	153	
0,1	8	0,15824	0,01758	0,05429	99	0,12495	0,01388	0,04287	88	0,11787	0,0131	0,04044	109	0,57504	0,06389	0,1973	152	0,483	0,05367	0,16572	139	0,37931	0,04215	0,13014	122	
0,1	9	0,10891	0,0121	0,02518	112	0,1191	0,01323	0,02754	137	0,14175	0,01575	0,03277	87	0,73305	0,08145	0,16949	114	0,73932	0,08215	0,17094	116	0,68787	0,07643	0,15905	128	
0,1	10	0,11396	0,01266	0,02997	100	0,13979	0,01553	0,03677	83	0,13346	0,01483	0,0351	94	0,69656	0,0774	0,18321	111	0,57571	0,06397	0,15142	96	0,69656	0,0774	0,18321	105	
0,2	1	0,24171	0,02686	0,11104	97	0,19615	0,02179	0,09011	100	0,25665	0,02852	0,1179	86	1,5	0,16667	0,68908	110	1,19	0,13222	0,54667	108	1,19799	0,13311	0,55034	93	
0,2	2	0,27176	0,0302	0,06964	91	0,24913	0,02768	0,06384	108	0,28003	0,03111	0,07176	91	1,53419	0,17047	0,39316	114	1,54077	0,1712	0,39485	102	2,12426	0,23603	0,54438	108	
0,2	3	0,26896	0,02988	0,10885	86	0,24179	0,02687	0,09785	83	0,21848	0,02428	0,08842	99	1,34386	0,14932	0,54386	122	0,87844	0,0976	0,3555	107	1,14671	0,12741	0,46407	110	
0,2	4	0,33247	0,03694	0,09201	83	0,21799	0,02422	0,06033	85	0,23878	0,02653	0,06608	91	2,12778	0,23642	0,58889	110	2,03723	0,22636	0,56383	94	1,28523	0,1428	0,3557	103	
0,2	5	0,33483	0,0372	0,06121	97	0,24636	0,02737	0,04503	103	0,3218	0,03576	0,05882	81	1,78846	0,19872	0,32692	121	1,44186	0,16021	0,26357	135	1,90769	0,21197	0,34872	103	
0,2	6	0,26628	0,02959	0,04993	98	0,29846	0,03316	0,05596	83	0,30164	0,03352	0,05656	95	3,83333	0,42593	0,71875	109	1,97849	0,21983	0,37097	104	0,93165	0,10352	0,17468	138	
0,2	7	0,29606	0,0329	0,07335	103	0,51159	0,05684	0,12674	71	0,26932	0,02992	0,06672	92	0,89459	0,0994	0,22162	110	1,45175	0,16131	0,35965	107	1,4646	0,16273	0,36283	108	
0,2	8	0,284	0,03156	0,1024	75	0,27245	0,03027	0,09823	79	0,29907	0,03323	0,10783	94	2,53571	0,28175	0,91429	104	2,43151	0,27017	0,87671	101	2,53571	0,28175	0,91429	110	
0,2	9	0,37251	0,04139	0,09549	76	0,30789	0,03421	0,07892	79	0,30136	0,03348	0,07725	101	0,75693	0,0841	0,19403	113	2,21875	0,24653	0,56875	105	0,76674	0,08519	0,19654	115	
0,2	10	0,32828	0,03648	0,07672	82	0,46523	0,05169	0,10872	66	0,24865	0,02763	0,05811	91	0,90418	0,10046	0,2113	105	0,76349	0,08483	0,17842	103	0,9509	0,10566	0,22222	103	
0,3	1	0,56672	0,06297	0,11094	85	0,28336	0,03148	0,05547	89	0,55917	0,06213	0,10947	90	2,13559	0,23729	0,41808	121	2,84211	0,31579	0,55639	104	2,23669	0,24852	0,43787	100	
0,3	2	0,38558	0,04284	0,07094	79	0,40119	0,04458	0,07381	83	0,55887	0,0621	0,10282	87	2,6746	0,29718	0,49206	114	3,17925	0,35325	0,58491	104	2,7623	0,30692	0,5082	108	
0,3	3	0,70152	0,07795	0,12738	74	0,47984	0,05332	0,08713	64	0,41554	0,04617	0,07545	74	2,92857	0,3254	0,53175	104	2,71324	0,30147	0,49265	103	2,97581	0,33065	0,54032	113	
0,3	4	0,36796	0,04088	0,17901	79	0,36634	0,0407	0,17822	78	0,40315	0,04479	0,19613	84	1,90286	0,21143	0,92571	101	1,90286	0,21143	0,92571	97	1,65672	0,18408	0,80597	96	
0,3	5	0,39635	0,04404	0,11493	80	0,30521	0,03391	0,0885	66	0,34976	0,03886	0,10142	79	2,75373	0,30597	0,79851	101	2,5274	0,28082	0,73288	96	2,73333	0,3037	0,79259	97	
0,3	6	0,8018	0,08909	0,14414	83	0,67424	0,07492	0,12121	67	0,56778	0,06309	0,10207	93	1,54113	0,17124	0,27706	119	1,53448	0,1705	0,27586	117	0,80909	0,0899	0,14545	105	
0,3	7	0,44743	0,04971	0,09396	87	0,62208	0,06912	0,13064	68	0,50761	0,0564	0,1066	91	2,73973	0,30441	0,57534	103	2,72109	0,30234	0,57143	100	3,125	0,34722	0,65625	108	
0,3	8	0,57143	0,06349	0,14452	100	0,54088	0,0601	0,13679	95	0,51964	0,05774	0,13142	69	2,64615	0,29402	0,66923	123	2	0,22222	0,50581	119	2	0,22222	0,50581	109	
